action,close,open,high,low,volume,price,fast_ema,slow_ema,rsi_14,vwma,action_quality
hold,138.5,138.5449981689453,139.08509826660156,138.27999877929688,212860,138.5,0.0,0.0,50.0,138.5,good
hold,138.27000427246094,138.63999938964844,138.8000030517578,138.1999969482422,28967,138.27000427246094,0.0,0.0,50.0,138.47245019687784,neutral
hold,138.99000549316406,138.27000427246094,139.0,138.2545928955078,33886,138.99000549316406,0.0,0.0,50.0,138.53605938023136,good
hold,138.91000366210938,139.0749969482422,139.11000061035156,138.7899932861328,21643,138.91000366210938,0.0,0.0,50.0,138.5632768437858,neutral
hold,139.69500732421875,138.97000122070312,139.72500610351562,138.91000366210938,36273,139.69500732421875,0.0,0.0,50.0,138.6863214823416,good
hold,139.67999267578125,139.6999969482422,139.8800048828125,139.4499969482422,22734,139.67999267578125,0.0,0.0,50.0,138.74971224095478,good
hold,139.13999938964844,139.69000244140625,139.69000244140625,139.0800018310547,23143,139.13999938964844,0.0,0.0,50.0,138.77351269597318,good
hold,139.3000030517578,139.16000366210938,139.37399291992188,138.8699951171875,22307,139.3000030517578,0.0,0.0,50.0,138.80274126838495,good
buy,139.50999450683594,139.32000732421875,139.6999969482422,139.19000244140625,16162,139.50999450683594,139.11055670844183,0.0,50.0,138.83008890123344,good
hold,139.69500732421875,139.5050048828125,139.72999572753906,139.42190551757812,11960,139.69500732421875,139.22744683159723,0.0,50.0,138.8541493390645,good
hold,139.89999389648438,139.77000427246094,139.99000549316406,139.72000122070312,20780,139.89999389648438,139.36195624457469,0.0,50.0,138.9023675033217,good
hold,140.1168975830078,139.99000549316406,140.17999267578125,139.89999389648438,42648,140.1168975830078,139.5129445122613,0.0,50.0,139.0073556739759,good
hold,140.17999267578125,140.11000061035156,140.22999572753906,139.9499969482422,33387,140.17999267578125,139.6463541449653,0.0,50.0,139.08168093563563,good
hold,140.5,140.24000549316406,140.64999389648438,140.24000549316406,35255,140.5,139.81708331597224,0.0,50.0,139.17065316651286,good
hold,140.4199981689453,140.5,140.5800018310547,140.0,71578,140.4199981689453,139.93766628656687,0.0,75.19674159868319,139.31179586854893,good
hold,140.6999969482422,140.4199981689453,140.8000030517578,140.3300018310547,35184,140.6999969482422,140.09013241890193,0.0,77.0157888771875,139.38482947634944,good
